Summary_Stats	R2	Test_Data	CI_L	CI_U	pEUR	fm1	fm2	Boots_Rep	Radius	N	Label	Sample_N	Size_group
PRS_BBJ	6.07631948329345	HRS_EUR	5.20767869848535	7.25183717012679	1	Height~Sex_M+Age+Age2+PRS_BBJ	Height~Sex_M+Age+Age2	100	1000	159095	BBJ	10123	<200K
PRS_META_ALL	17.2163305603792	HRS_EUR	15.6473381540724	18.6986817875025	1	Height~Sex_M+Age+Age2+PRS_META_ALL	Height~Sex_M+Age+Age2	100	1000	610373	UKBB+BBJ+META_AFR+PAGE	10123	>600K
PRS_META_ALL2	18.4339376028801	HRS_EUR	17.2121550338457	19.9096038783649	1	Height~Sex_M+Age+Age2+PRS_META_ALL2	Height~Sex_M+Age+Age2	100	1000	660019	UKBB+GIANT+BBJ+META_AFR+PAGE	10123	>600K
PRS_META_EUR	22.2569232757578	HRS_EUR	20.7849646284879	23.8009453529619	1	Height~Sex_M+Age+Age2+PRS_META_EUR	Height~Sex_M+Age+Age2	100	1000	613667	UKBB+GIANT	10123	>600K
PRS_META_NEA	8.67979958906449	HRS_EUR	7.68632594896446	9.87296309414228	1	Height~Sex_M+Age+Age2+PRS_META_NEA	Height~Sex_M+Age+Age2	100	1000	249985	META_AFR+PAGE+BBJ	10123	<300K
PRS_META_AFR	0.477333175802086	UKB_CHI	0.0470333601271845	1.21940508750121	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_META_AFR	Height~Sex_M+Age+Age2+pEUR	100	1000	41109	META_AFR	1467	<50K
PRS_META_AFR2	4.67819152205388	UKB_CHI	2.89130801537955	7.23029083118561	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_META_AFR2	Height~Sex_M+Age+Age2+pEUR	100	1000	90890	META_AFR+PAGE	1467	<100K
PRS_UKBB	10.6463723806015	UKB_CHI	7.99082274900351	13.1837880206465	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_UKBB	Height~Sex_M+Age+Age2+pEUR	100	1000	360388	UKBB	1467	<400K
PRS_GIANT	5.43994909073516	UKB_CHI	3.15926565612408	8.19661851300113	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_GIANT	Height~Sex_M+Age+Age2+pEUR	100	1000	253280	GIANT	1467	<300K
PRS_PAGE	5.8460115168705	UKB_CHI	3.36029034765986	7.74740010705528	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_PAGE	Height~Sex_M+Age+Age2+pEUR	100	1000	49781	PAGE	1467	<50K
PRS_BBJ	7.81373780294147	UKB_CHI	5.42804435792107	10.5247815148406	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_BBJ	Height~Sex_M+Age+Age2+pEUR	100	1000	159095	BBJ	1467	<200K
PRS_META_ALL	9.54395062840919	UKB_CHI	6.68904777626348	13.2427540604766	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_META_ALL	Height~Sex_M+Age+Age2+pEUR	100	1000	610373	UKBB+BBJ+META_AFR+PAGE	1467	>600K
PRS_META_ALL2	9.74535946204637	UKB_CHI	7.35066809818739	12.6481052306513	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_META_ALL2	Height~Sex_M+Age+Age2+pEUR	100	1000	660019	UKBB+GIANT+BBJ+META_AFR+PAGE	1467	>600K
PRS_META_EUR	10.6712988069587	UKB_CHI	7.63890085916253	14.1660906719912	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_META_EUR	Height~Sex_M+Age+Age2+pEUR	100	1000	613667	UKBB+GIANT	1467	>600K
PRS_META_NEA	3.63986599931401	UKB_CHI	1.92229875363248	5.63188823036645	0.0230632194955692	Height~Sex_M+Age+Age2+pEUR+PRS_META_NEA	Height~Sex_M+Age+Age2+pEUR	100	1000	249985	META_AFR+PAGE+BBJ	1467	<300K
